authors,abstract,title
"['Halina Szejnwald Brown', 'Philip J. Vergragt', 'Ken Green', 'Luca Berchicci']","Abstract A bounded socio-technical experiment (BSTE) attempts to introduce a new technology, service, or a social arrangement on a small scale. Many such experiments in personal mobility are ongoing worldwide. They are carried out by coalitions of diverse actors, and are driven by long term and large scale visions of advancing societyÉ??s sustainability agenda. This paper focuses on the processes of higher-order learning that occur through BSTEs. Based on the conceptual frameworks from theories of organizational learning, policy-oriented learning, and diffusion of innovation, we identify two types of learning: the first type occurs among the participants in the experiment and their immediate professional networks; the second type occurs in the society at large. Both types play a key role in the societal transition towards sustainable mobility systems. Two case studies, in which the Design for Sustainability Group at Technical University of Delft has participated, provide empirical data for the analysis. One...",Learning for Sustainability Transition through Bounded Socio-technical Experiments in Personal Mobility
"['Luther R. Palmer', 'David E. Orin']","During a complete running stride, which involves significant periods of flight during which no legs are contacting the ground, a quadruped cannot employ static stability techniques. Instead, the corrective forces necessary to maintain dynamic stability must be applied during the short stance intervals inherent to high-speed running. Because of this complexity and the large coupled forces required to run, much of the research on the control of quadruped running has focused on planar systems which are not required to simultaneously control attitude in all three dimensions. The 3D trot controller presented here overcomes these and other complexities to control a trot up to 3.75 m/s, approximately 3 body lengths per second, and turning rates up to 20 deg/s. The biomimetic method of banking into a high-speed turn is also investigated here. Along with the details of the attitude control algorithm, a set of control principles for high-speed legged motion is presented. These principles, such as the need to counteract the disturbance of swing leg return and the usefulness of force redistribution during stance, are not dependent on a particular scale or actuation scheme and can be applied to a wider range of legged systems.",Attitude Control of a Quadruped Trot While Turning
"['Jean Bosco Mbede', 'Xinhan Huang', 'Min Wang']","An integration of a fuzzy controller and modified Elman neural networks (NN) approximation-based computed-torque controller is proposed for motion control of autonomous manipulators in dynamic and partially known environments containing moving obstacles. The navigation technique of robot control using artificial potential fields is based on the fuzzy controller. The NN controller can deal with unmodeled bounded disturbances and or unstructured unmodeled dynamics of the robot arm. The NN weights are tuned online, with no off-line learning phase required. The stability of the closed-loop system is guaranteed by the Lyapunov theory. The purpose of the controller, which is designed as a neuro-fuzzy controller, is to generate the commands for the servo-systems of the robot so it may choose its way to its goal autonomously, while reacting in real-time to unexpected events. The proposed scheme has been successfully tested. The controller also demonstrates remarkable performance in adaptation to changes in manipulator dynamics. Sensor-based motion control is an essential feature for dealing with model uncertainties and unexpected obstacles in real-time world systems.",Robust fuzzy and recurrent neural network motion control among dynamic obstacles for robot manipulators
"['L. Costantini', 'Balazs Matuz', 'Gianluigi Liva', 'Enrico Paolini', 'Marco Chiani']","SUMMARY#R##N##R##N#Protograph-based non-binary low-density parity-check (LDPC) codes with ultra-sparse parity-check matrices are compared with binary LDPC and turbo codes (TCs) from space communication standards. It is shown that larger coding gains are achieved, outperforming the binary competitors by more than 0.3É??dB on the additive white Gaussian noise channel (AWGN). In the short block length regime, the designed codes gain more than 1É??dB with respect to the binary protograph LDPC codes recently proposed for the next generation up-link standard of the Consultative Committee for Space Data Systems. Copyright ?? 2012 John Wiley & Sons, Ltd.",NonÉ?êbinary protograph lowÉ?êdensity parityÉ?êcheck codes for space communications
"['Unoma Ndili', 'Robert D. Nowak', 'M?≠rio A. T. Figueiredo']","This paper introduces multi-scale tree-based approaches to image segmentation, using Rissanen's coding theoretic minimum description length (MDL) principle to penalize overly complex segmentations. Images are modelled as Gaussian random fields of independent pixels, with piecewise constant mean and variance. This model captures variations in both intensity (mean value) and texture (variance). Segmentation thus amounts to detecting changes in the mean and/or variance. One algorithm is based on an adaptive (greedy) rectangular recursive partitioning scheme. The second algorithm is an optimally pruned ""wedgelet"" decorated dyadic partitioning. We compare the two schemes with an alternative constant variance dyadic CART (classification and regression tree) scheme which accounts only for variations in mean, and demonstrate their performance on SAR images.",Coding theoretic approach to image segmentation
"['Juliane Sch??fer', 'Korbinian Strimmer']","Motivation: Genetic networks are often described statistically using graphical models (e.g. Bayesian networks). However, inferring the network structure offers a serious challenge in microarray analysis where the sample size is small compared to the number of considered genes. This renders many standard algorithms for graphical models inapplicable, and inferring genetic networks an 'ill-posed' inverse problem.#R##N##R##N#Methods: We introduce a novel framework for small-sample inference of graphical models from gene expression data. Specifically, we focus on the so-called graphical Gaussian models (GGMs) that are now frequently used to describe gene association networks and to detect conditionally dependent genes. Our new approach is based on (1) improved (regularized) small-sample point estimates of partial correlation, (2) an exact test of edge inclusion with adaptive estimation of the degree of freedom and (3) a heuristic network search based on false discovery rate multiple testing. Steps (2) and (3) correspond to an empirical Bayes estimate of the network topology.#R##N##R##N#Results: Using computer simulations, we investigate the sensitivity (power) and specificity (true negative rate) of the proposed framework to estimate GGMs from microarray data. This shows that it is possible to recover the true network topology with high accuracy even for small-sample datasets. Subsequently, we analyze gene expression data from a breast cancer tumor study and illustrate our approach by inferring a corresponding large-scale gene association network for 3883 genes.#R##N##R##N#Availability: The authors have implemented the approach in the R package 'GeneTS' that is freely available from http://www.stat.uni-muenchen.de/~strimmer/genets/, from the R archive (CRAN) and from the Bioconductor website.#R##N##R##N#Contact: korbinian.strimmer@lmu.de",An empirical Bayes approach to inferring large-scale gene association networks
"['Wei-Yu Chen', 'Sandeep K. Gupta', 'Melvin A. Breuer']","The authors develop a general methodology to analyze crosstalk effects that are likely to cause errors in deep submicron high-speed circuits. They focus on crosstalk due to capacitive coupling between a pair of lines. Closed form equations are derived that quantify the severity of these effects and describe qualitatively the dependence of these effects on the values of circuit parameters, the rise/fall times of the input transitions, and the skew between the transitions. For noise propagation, they present a new way for predicting the output waveform produced by an inverter due to a nonsquare wave pulse at its input. To expedite the computation of the response of a logic gate to an input pulse, the authors have developed a novel way of modeling such gates by an equivalent inverter. The results of their analysis provide conditions that must be satisfied by a sequence of vectors used for validation of designs as well as post-manufacturing testing of devices in the presence of significant crosstalk. They present data to demonstrate accuracy of their results, including example runs of a test generator that uses these results.",Analytical models for crosstalk excitation and propagation in VLSI circuits
"['Xianlong Zhu', 'Feng Mao', 'Jianxi Huang']","Remote sensing dynamic monitoring of land use can detect the change information of land use and update the current land use map, which is important for rational utilization and scientific management to land resources. This paper discussed the technological procedure of land use dynamic monitoring, including the process of remote sensed images, the information classification and extraction of remote sensed imagery, and analysis of land use changes. Based on SPOT imagery data in three periods, the paper took Beijing city as an example, extracted the land use information during 1986-2004, and the land use changes were required in the period. The object-oriented method was used to extract information, and contrastive method after classification was used to confirm change zones.",Land use Dynamic Monitoring using Multi-Temporal SPOT Data in Beijing City from 1986 to 2004
['James A. Larson'],"VoiceXML is a markup language for creating voice-user interfaces. It uses speech and telephone touchtone recognition for input and prerecorded audio and text-to-speech synthesis (TTS) for output. It's based on the World Wide Web Consortium's (W3C's) Extensible Markup Language (XML) and leverages the Web paradigm for application development and deployment. By having a common language, application developers, platform vendors, and tool providers all can benefit from code portability and reuse. The paper discusses VoiceXML and the W3C speech interface framework.",VoiceXML and the W3C speech interface framework
"['Jennifer L. Wong', 'Farinaz Kourshanfar', 'Miodrag Potkonjak']","ASIC provides more than an order of magnitude advantage in terms of density, speed, and power requirement per gate. However, economic (cost of masks) and technological (deep micron manufacturability) trends favor FPGA as an implementation platform. In order to combine the advantages of both platforms and alleviate their disadvantages, recently a number of approaches, such as structured ASIC/regular fabrics, have been proposed. Our goal is to introduce an approach that has the same objective, but is orthogonal to those already proposed. The idea is to implement several ASIC designs in such a way that they share the datapath, memory structure, and several bottom layers of interconnect, while each design has only a few unique metal layers. We identified and addressed two main problems in our quest to develop a CAD flow for realization of such designs. They are: (i) the creation of the datapath, and (ii) the identification of common and unique interconnects for each design. Both problems are solved optimally using ILP formulations. We assembled a design flow platform using two new programs and the Trimaran and Shade tools. We quantitatively analyzed the advantages and disadvantages of the approach using the Mediabench benchmark suite.",Flexible ASIC: shared masking for multiple media processors
"['Spyridon Antonakopoulos', 'Chandra Chekuri', 'F. Bruce Shepherd', 'Lisa Zhang']","We consider approximation algorithms for buy-at-bulk network design, with the additional constraint that demand pairs be protected against edge or node failures in the network. In practice, the most popular model used in high speed telecommunication networks for protection against failures, is the so-called 1+1 model. In this model, two edge or node-disjoint paths are provisioned for each demand pair. We obtain the first non-trivial approximation algorithms for buy-at-bulk network design in the 1+1 model for both edge and node-disjoint protection requirements. Our results are for the single-cable cost model, which is prevalent in optical networks. More specifically, we present a constant-factor approximation for the single-sink case, and an O(log 3  n) approximation for the multi-commodity case. These results are of interest for practical applications and also suggest several new challenging theoretical problems.",Buy-at-Bulk Network Design with Protection
"['Joon-Myung Kang', 'Hadi Bannazadeh', 'Hesam Rahimi', 'Thomas Lin', 'Mohammad Faraji', 'Alberto Leon-Garcia']","This paper discusses the role of virtualization and software-defined infrastructure (SDI) in the design of future application platforms, and in particular the Future Central Office (CO). A multi-tier computing cloud is presented in which resources in the Smart Edge of the network play a crucial role in the delivery of low-latency and data-intensive applications. Resources in the Smart Edge are virtualized and managed using cloud computing principles, but these resources are more diverse than in conventional data centers, including programmable hardware, GPUs, etc. We propose an architecture for future application platforms, and we describe the SAVI Testbed (TB) design for the Smart Edge. The design features a novel Software-Defined Infrastructure manager that operates on top of OpenStack and OpenFlow. We conclude with a discussion of the implications of the Smart Edge design on the Future CO.",Software-defined infrastructure and the Future Central Office
"['Florent Perronnin', 'Jose A. Rodriguez-Serrano']","The Fisher kernel is a generic framework which combines the benefits of generative and discriminative approaches to pattern classification. In this contribution, we propose to apply this framework to handwritten word-spotting. Given a word image and a keyword generative model, the idea is to generate a vector which describes how the parameters of the keyword model should be modified to best fit the word image.This vector can then be used as the input of a discriminative classifier. We compare the performance of the proposed approach with that of a generative baseline on a challenging real-world dataset of customer letters. When the kernel used by the classifier is linear, the performance improvement is marginal but the proposed system is approximately 15 times faster than the baseline. If we use a non-linear kernel devised for this task, we obtain a 15\% relative reduction of the error but the detector is approximately 15 times slower.",Fisher Kernels for Handwritten Word-spotting
"['Steven R. Shaw', 'Steven B. Leeb', 'Leslie K. Norford', 'Robert W. Cox']","This paper describes a transient event classification scheme, system identification techniques, and implementation for use in nonintrusive load monitoring. Together, these techniques form a system that can determine the operating schedule and find parameters of physical models of loads that are connected to an AC or DC power distribution system. The monitoring system requires only off-the-shelf hardware and recognizes individual transients by disaggregating the signal from a minimal number of sensors that are installed at a central location in the distribution system. Implementation details and field tests for AC and DC systems are presented.",Nonintrusive Load Monitoring and Diagnostics in Power Systems
"['Amirhossein Tavanaei', 'Hossein Sameti', 'Seyyed Hamidreza Mohammadi']",This paper proposes four methods for improving the performance of keyword spotting (KWS) systems. Keyword models are usually created by concatenating the phoneme HMMs and garbage models consist of all phonemes HMMs. We present the results of investigations involving the use of skips in states of keyword HMMs and we focus on improving the hit ratio; then for false alarm reduction in KWS we model the words that are similar to keywords and we create HMMs for highly frequent words. These models help to improve the performance of the filler model. Two post-processing steps based on phoneme and word probabilities are used on the results of KWS to reduce the false alarms. We evaluate the performance of the improved keyword spotting in FarsDat corpus and compare the approaches. The presented techniques depict better performances than the popular KWS systems.,False alarm reduction by improved filler model and post-processing in speech keyword spotting
"['Dragomir Milojevic', 'Trevor E. Carlson', 'K. Croes', 'Riko Radojcic', 'Diana F. Ragett', 'Dirk Seynhaeve', 'Federico Angiolini', 'Geert Van der Plas', 'Pol Marchal']","New technologies for manufacturing 3D Stacked ICs offer numerous opportunities for the design of complex and effcient embedded systems. But these technologies also introduce many design options at system/chip design level, hard to grasp during the complete design cycle. Because of the sequential nature of current design practices, designers are often forced to introduce design margins to meet required specications, resulting in sub-optimal designs. In this paper we introduce new design methodology and practical tool chain, called PathFinding Flow, that can help designers to easily trade-off between different system level design choices, physical design and/or technology options and understand their impact on typical design parameters such as cost, performance and power. Proposed methodology and the tool chain will be demonstrated on a practical case study, involving fairly complex Multi-Processor System-on-Chip using Network-on-Chip for communication medium. With this example we will show how High-Level Synthesis can be used to quickly move from high-level to RTL models, necessary for accurate physical prototyping for both computation and communication. We will also show how the possibility of design iteration, through the mechanism of feedback based on physical information from physical prototyping, can improve design performance. Finally, we will show how we can move in no time from traditional 2D to 3D design and how we can measure benets of such design choice.",Automated Pathfinding tool chain for 3D-stacked integrated circuits: Practical case study
"['Mh Monique Jansen-Vullers', 'van Ca Kees-Jan Dorp', 'Ajm Beulens']","In this paper, an approach to design information systems for traceability is proposed. The paper applies gozinto graph modelling for traceability of the goods flow. A gozinto graph represents a graphical listing of raw materials, parts, intermediates and subassemblies, which a process transforms into an end product, through a sequence of operations. Next, the graphical listing has been translated into a reference data model that is the basis for designing an information system for tracking and tracing. Materials that are modelled this way represent production and/or purchase lots or batches. The composition of a certain end product is then represented through modelling all its constituent materials along with their intermediate relations. By registering all relations between sub-ordinate and super-ordinate material lots, a method of tracking the composition of the end product is obtained. When the entire sequence of operations required for manufacturing an end product adheres to this registering of relations, a multilevel bill of lots can be compiled. That bill of lots then, provides the necessary information to determine the composition of a material item out of component items. These composition data can be used to recall any items having consumed a certain component of specific interest (e.g., deficient), but also to certify product quality or to pro-actively adjust production processes to optimise the product quality in relation to its production characteristics (e.g., scarcity, costs or time).",Managing traceability information in manufacture
"['Nathan Jacobs', 'Robert Pless']","The vast imaging resources available via the Internet are underutilized. We propose to lay the foundation for the use of cameras attached to the Internet, also known as webcams, as free and flexible sensors. Developing an understanding of the relationship between signals in the world and the image variations they cause is critical to this effort. We use this understanding to develop methods to calibrate webcams, to estimate scene properties, and to report the weather.",PhD forum: Calibrating and using the global network of outdoor webcams
['Iouri Belski'],"Engineering knowledge is complex. Therefore, discipline concepts cannot usually be introduced to students all at once. Normally, individual models and behaviours are taught in several courses, by different teaching staff and in separate years of study. This often results in inadequate comprehension of the disciplinepsilas ldquobig picturerdquo - that is, the interrelationship of various concepts, models and behaviours. Students studying electronic circuit design, for example, often overlook important aspects of linear circuit performance. Their knowledge of the effects of steady-state and transient responses requires improved unification. Simple computer-based simulators can significantly help students to establish well-developed holistic views of systems in many engineering disciplines. The 4Screens Web-based simulator has helped hundreds of students in becoming more proficient with electronics systems. It has been developed by a group of undergraduates to make the Four screens model easy to utilise. A student using the simulator can simultaneously display four important characteristics of an electronic system on a computer screen: its algebraic transfer function H(s), systempsilas pole-zero plot, its Bode plots of magnitude and phase, as well as a graph of its time response to a unit step. Questionnaire responses and test performances over the last seven years confirm the effectiveness of the Four screens and the 4Screens Web-based simulator in improving student learning.",Acquiring a Holistic Picture: The 4Screens Web-Based Simulator Helping Students to Unify Behaviours of Electronic Systems
"['Leonardo A. Clarke', 'Joseph Skobla']","In an effort to address students' complaints regarding the tedious and frustrating nature of the practical component of the department's introductory communication course we embarked on a restructuring exercise. The restructuring of this component of the course shows promise based on preliminary results. The students are obtaining higher grades and gave the practical component a more favorable rating. Additionally the restructuring exercise allows for the addition of several more experiments enabling us to cover a broader portion of the course in the practical component. This paper looks at the changes that were made in the restructuring exercise and present preliminary results on the improvement in student's grade which can be attributed to this exercise. Over 16% of students are now obtaining grades over 80% compare to 0% before the restructuring exercise. Results from students' evaluations of the practical component of the course before and after the restructuring exercise is also presented, which shows an effective 24% improvement in the student rating.",Benefits derived from restructuring the practical component of an introductory course in electronic communication systems
"['Mahmut T. Kandemir', 'Alok N. Choudhary', 'Prithviraj Banerjee', 'J. Ramanujam', 'U. Nagaraj Shenoy']","Minimizing communication and synchronization costs is crucial to the realization of the performance potential of parallel computers. This paper presents a general technique which uses a global data-flow framework to optimize communication and synchronization in the context of the one-way communication model. In contrast to the conventional send/receive message-passing communication model, one-way communication is a new paradigm that decouples message transmission and synchronization. In parallel machines with appropriate low-level support, this may open up new opportunities not only to further optimize communication, but also to reduce the synchronization overhead. We present optimization techniques using our framework for eliminating redundant data communication and synchronization operations. Our approach works with the most general data alignments and distributions in languages like High Performance Fortran (HPF) and uses a combination of the traditional data-flow analysis and polyhedral algebra. Empirical results for several scientific benchmarks on a Cray T3E multiprocessor machine demonstrate that our approach is successful in reducing the number of data (communication) and synchronization messages, thereby reducing the overall execution times.",Minimizing data and synchronization costs in one-way communication
"['Lexing Xie', 'Shih-Fu Chang']","Pattern mining algorithms are often much easier applied than quantitatively assessed. In this paper we address the pattern evaluation problem by looking at both the capability of models and the difficulty of target concepts. We use four different data mining models: frequent itemset mining, k-means clustering, hidden Markov model, and hierarchical hidden Markov model to mine 39 concept streams from the a 137-video broadcast news collection from TRECVID-2005. We hypothesize that the discovered patterns can reveal semantics beyond the input space, and thus evaluate the patterns against a much larger concept space containing 192 concepts defined by LSCOM. Results show that HHMM has the best average prediction among all models, however different models seem to excel in different concepts depending on the concept prior and the ontological relationship. Results also show that the majority of the target concepts are better predicted with temporal or combination hypotheses, and there are novel concepts found that are not part of the original lexicon. This paper presents the first effort on temporal pattern mining in the large concept space. There are many promising directions to use concept mining to help construct better concept detectors or to guide the design of multimedia ontology.",Pattern Mining in Visual Concept Streams
"['Luciano Baresi', 'Liliana Pasquale']","Service compositions need to continuously self- adapt to cope with unexpected failures. In this context adaptation becomes a fundamental requirement that must be elicited along with the other functional and non functional requirements. Beside modelling, effective adaptation also demands means to trigger it at runtime as soon as the actual behavior of the composition deviates from stated requirements. This paper extends traditional goal models with adaptive goals to support continuous adaptation. Goals become live, runtime entities whose satisfaction level is dynamically updated. Furthermore, boundary infringement triggers adaptation capabilities. The paper also provides a methodology to trace goals onto the underlying composition, assess goals satisfaction at runtime, and activate adaptation consequently. All the key elements are demonstrated on the definition of the process to control an advanced washing machine.",Adaptive Goals for Self-Adaptive Service Compositions
"['Guillermo Gallego', '??zalp ??zer']","There is a growing consensus that a portfolio of customers with different demand lead times can lead to higher, more regular revenues and better capacity utilization. Customers with positive demand lead times place orders in advance of their needs, resulting inadvance demand information. This gives rise to the problem of finding effective inventory control policies under advance demand information. We show that state-dependent ( s, S) and base-stock policies are optimal for stochastic inventory systems with and without fixed costs. The state of the system reflects our knowledge of advance demand information. We also determine conditions under which advance demand information has no operational value. A numerical study allows us to obtain additional insights and to evaluate strategies to induce advance demand information.",Integrating Replenishment Decisions with Advance Demand Information
"['Ligang Ke', 'Michael W. Marcellin']","Digital magnetic and optical storage systems employing NRZI recording use (d, k) codes. The d-parameter specifies the minimum number of 0's occurring between 1's while the k-parameter specifies the maximum number of 0's between l's. The n-track (d,k) codes (denoted as (d,k;n) codes) are extensions of (d, k) codes for use in multiple-track systems. Instead of imposing each track to individually satisfy both constraints, (d,k;n) codes satisfy the d-constraint in each track individually while relaxing the k-constraint by allowing it to be satisfied jointly by the multiple tracks. Although (d,k;n) codes can provide significant capacity increases over (d, k) codes, they suffer from the fact that a single faulty track can cause loss of synchronization and hence, loss of the data on all tracks. Orcutt and Marcellin (see IEEE Trans. on Inform. Theory, Sept., 1993) introduced n-track (d,k) codes with a redundancy of r (denoted as (d,k;n,r) codes) which allow for r faulty tracks by mandating that all subsets of n-r tracks satisfy the joint k-constraint. We propose a new method to construct (d,k; n, r) codes. These codes have simple encoding and decoding schemes, gain a large part of the capacity increase possible when using (d,k; n,r) codes, and are considerably more robust to faulty tracks. >","A new construction for n-track (d, k) codes with redundancy"
"['Krisztina Boda', 'Thomas Seidel', 'Johann Gasteiger']","De novo design systems provide powerful methods to suggest a set of novel structures with high estimated binding affinity. One deficiency of these methods is that some of the suggested structures could be synthesized only with great difficulty. We devised a scoring method that rapidly evaluates synthetic accessibility of structures based on structural complexity, similarity to available starting materials and assessment of strategic bonds where a structure can be decomposed to obtain simpler fragments. These individual components were combined to an overall score of synthetic accessibility by an additive scheme. The weights of the scoring function components were calculated by linear regression analysis based on accessibility scores derived from medicinal chemists. The calculated values for synthetic accessibility agree with the values proposed by chemists to an extent that compares well with how chemists agree with each other.",Structure and reaction based evaluation of synthetic accessibility
['Sheng Chen'],"The market of metro optical networking has increased rapidly over the last few years. Traditional telecommunication infrastructure has an emphasis on long-haul optical transmission with ultra broadband capacity, relying mostly on large pure Dense Wavelength Division Multiplexing (DWDM) systems. Today, however, metro core optical networks take the major role in provisioning local access services and interconnecting service points of presences (POPs) with long-haul transmission. This represents a pivotal point in business operations of data communication services for service providers and large enterprises. In addition, the upper layer data services completely leans upon the substrate wavelength communication, and hence the survivability and reliability issues in the optical domain are now becoming crucial topics. This paper provides a detailed discussion around the development process of protection technologies in metro core optical transport infrastructure.",Evolution of Protection Technologies in Metro Core Optical Networks
"['Edward J. Coyle', 'James S. Lehnert']",Progress is reported in the design and analysis of spread-spectrum packet radio networks for the factory of the future. This progress includes the accurate analysis of the probability of packet success in a direct-sequence spread-spectrum communication channel and analytical results on the transient behavior of packet radio networks. The first use of these networks will be to provide communications between a transport system controller and a fleet of autonomous guided vehicles. >,Packet radio and the factory of the future
['William R. Lilegdon'],"The FACTOR system is designed to support the effective management of the capacity of manufacturing organization. This philosophy is best described as total capacity management (TCM). The TCM fundamental principle suggests that through a thorough understanding of a system's capacity and the ability to control that capacity, a manufacturing system can profitably and predictably deliver quality products to its customers. This tutorial covers the basic concepts of FACTOR. FACTOR has been applied to engineering, design, scheduling and planning problems within many manufacturing organizations. Topics covered include: the FACTOR modeling constructs, integration with existing production data, the use of FACTOR for schedule creation and adjustment, FACTOR/AIM, and new enhancements to the products.",Manufacturing decision making with FACTOR
['Zuhrieh Shana'],"There is considerable evidence that using technology as an instructional tool improves student learning and educational outcomes (Hanna & de Nooy, 2003). In developing countries, pre-university education focuses on memorization, although meting the mission of AUST requires students to manage technology and to think more independently. This study examines the impact of incorporating a discussion forum on the achievement of university students enrolled in a Distance Education course, Educational Technology Department at Ajman University of Science and Technology (AUST), United Arab Emirates. The study was conducted with 34 students divided into two sections, one a treatment group and one a control group. Both sections were exposed to the same teaching techniques covering the same course material on Distance Education. Four weeks after the course had commenced they were given the same teacher constructed test. However, after the first test, the treated group was exposed to the use of a World Wide Web (WWW) interactive discussion forum. At the end of the semester-long treatment period, a final test was given to both groups, and student scores were analyzed for any statistically significant difference. Questionnaires and interviews were also conducted to see if students had enjoyed the experience. The results of the study indicated that students in both groups showed learning improvement over the course of one semester, but discussion forums had an obvious impact on student achievement and attitude in distance learning/ educational technology course.",Learning with Technology: Using Discussion Forums to Augment a Traditional-Style Class
"['Lisa Bartoli', 'Piero Fariselli', 'Anders Krogh', 'Rita Casadio']","Motivation: The widespread coiled-coil structural motif in proteins is known to mediate a variety of biological interactions. Recognizing a coiled-coil containing sequence and locating its coiled-coil domains are key steps towards the determination of the protein structure and function. Different tools are available for predicting coiled-coil domains in protein sequences, including those based on positionspecific score matrices and machine learning methods. Results: In this article, we introduce a hidden Markov model (CCHMM_PROF) that exploits the information contained in multiple sequence alignments (profiles) to predict coiled-coil regions. The new method discriminates coiled-coil sequences with an accuracy of 97% and achieves a true positive rate of 79% with only 1% of false positives. Furthermore, when predicting the location of coiled-coil segments in protein sequences, the method reaches an accuracy of 80% at the residue level and a best per-segment and perprotein efficiency of 81% and 80%, respectively. The results indicate that CCHMM_PROF outperforms all the existing tools and can be adopted for large-scale genome annotation. Availability: The dataset is available at http://www.biocomp.unibo .it/É?¨lisa/coiled-coils. The predictor is freely available at http://gpcr .biocomp.unibo.it/cgi/predictors/cchmmprof/pred_cchmmprof.cgi. Contact: piero@biocomp.unibo.it",CCHMM_PROF: a HMM-based Coiled-Coil Predictor with Evolutionary Information
"['Joseph Kee-Yin Ng', 'Jane W. S. Liu']","Simulation experiments show that the token ring protocol gave a lower average message delay at low transfer rates, but the token bus protocol gave a better overall performance for applications where only average delay is of interest. On the other hand, in hard real-time systems, the criterion of importance is not the average message delay, but the maximum message delay and the ability to meet deadlines. Slotted ring in this case is a much better protocol than the others because of its low maximum message delay and more predictable message delay. Because of this, and because the average performance of the slotted ring remains good as the size or the transfer rate of the network increases, the slotted ring protocol is preferred over the token ring and token bus protocols for hard real-time systems. >",Performance of local area network protocols for hard real-time applications
"['Ronaldo Fumio Hashimoto', 'Junior Barrera']","A finite subset of Z/sup 2/ is called a structuring element. The paper presents a new and simple algorithm for decomposing a convex structuring element as a sequence of Minkowski additions of a minimum number of subsets of the elementary square (i.e., the 3/spl times/3 square centered at the origin). Besides its simplicity, the advantage of this algorithm over some known algorithms is that it generates a sequence of non necessarily convex subsets, which means subsets with smaller cardinality and consequently faster implementation of the corresponding dilations and erosions. The algorithm is based on algebraic and geometrical properties of Minkowski additions. Theoretical analysis of correctness and computational time complexity are also presented.",A simple algorithm for decomposing convex structuring elements
"['Mitrajit Chatterjee', 'Dhiraj K. Pradhan']","A new design methodology for a pattern generator is proposed, formulated in the context of on-chip BIST. The design methodology is circuit-specific and uses synthesis techniques to design BIST generators. The pattern generator consists of two components: a pseudorandom pattern generator (like an LFSR or, preferably, a GLFSR) and a combinational logic to map the outputs of the pseudorandom pattern generator. This combinational logic is synthesized to produce a given set of target patterns by mapping the outputs of the pseudorandom pattern generator. It is shown that, for a particular CUT, an area-efficient combinational logic block can be designed/synthesized to achieve 100 (or almost 100) percent single stuck-at fault coverage using a small number of test the This method is significantly different from weighted pattern generation and can guarantee testing of all hard-to-detect faults without expensive test point insertion. Experimental results on common benchmark netlists demonstrate that the fault coverage of the proposed pattern generator is significantly higher compared to conventional pattern generation techniques. The design technique for the logic mapper is unique and can be used effectively to improve existing pattern generators for combinational logic and scan-based BIST structures.",A BIST pattern generator design for near-perfect fault coverage
"['Alexander Loskutov', 'Sergei Rybalko', 'Ekaterina Zhuchkova']","The model of the cardiac tissue as a conductive system with two interacting pacemakers and a refractory time is proposed. In the parametric space of the model the phase locking areas are investigated in detail. The obtained results make possible to predict the behavior of excitable systems with two pacemakers, depending on the type and intensity of their interaction and the initial phase. Comparison of the described phenomena with intrinsic pathologies of cardiac rhythms is given.",MODEL OF CARDIAC TISSUE AS A CONDUCTIVE SYSTEM WITH INTERACTING PACEMAKERS AND REFRACTORY TIME
['Pam Mills'],Abstract#R##N##R##N#The Systolic Pixel or Spixel is a novel architecture for an intelligent pixel-based graphics database for geometric-solid models. An algorithm is described which performs visible surface calculations for any complexity of coloured 3-dimensional (3-D) surface and which structures geometric-solid model data in a natural way. The algorithm/architecture of the spixel features a simple set of priority rules acting upon data in nearest neighbour locations and a simple set of movement rules of data to nearest neighbour locations. The spixel is constructed out of identical functional units. These features are attractive for an implementation of the algorithm in Very Large Scale Integration (VLSI).,The Systolic Pixel: A Visible Surface Algorithm for VLSI.
"['Kristina Toutanova', 'Hisami Suzuki']",We study the use of rich syntax-based statistical models for generating grammatical case for the purpose of machine translation from a language which does not indicate case explicitly (English) to a language with a rich system of surface case markers (Japanese). We propose an extension of n-best re-ranking as a method of integrating such models into a statistical MT system and show that this method substantially outperforms standard n-best re-ranking. Our best performing model achieves a statistically significant improvement over the baseline MT system according to the BLEU metric. Human evaluation also confirms the results.,Generating Case Markers in Machine Translation
['Gordon L. St?¨ber'],"The performance of a soft-limiter metric and a quantized soft-limiter metric is evaluated for coded DS/DPSK (direct sequence/differential phase shift keying) in the presence of worst case pulse jamming and background noise. The metrics are easy to implement and do not require jammer state information. Instead they rely on the use of receiver thresholds, which must be adjusted according to the code rate and the received bit-energy-to-background-noise ratio. The performance of the metrics is evaluated by using the cutoff rate criterion and a number of specific convolutional and block codes. It is shown that the metrics can offer a significant soft-decision decoding gain and can perform to within 0.5-1.5 dB of the maximum-likelihood soft-decision metric with perfect jammer state information. >",Soft-limiter receivers for coded DS/DPSK systems
